,0
133,0.09529367469879581
134,0.11025200803212863
135,0.12475200803212737
136,0.134960341365463
137,0.14300200803212876
138,0.1509603413654625
139,0.1604186746987954
140,0.16554367469879494
141,0.16804367469879597
142,0.17204367469879508
143,0.17512700803212902
144,0.18154367469879504
145,0.18983534136546135
146,0.20196034136546118
147,0.2112936746987953
148,0.2207520080321292
149,0.2337103413654614
150,0.24471034136546196
151,0.2535020080321292
152,0.2672936746987953
153,0.27858534136546265
154,0.290752008032129
155,0.29866867469879516
156,0.3069603413654624
157,0.3140020080321288
158,0.3226270080321294
159,0.32925200803212945
160,0.33891867469879433
161,0.3481686746987946
162,0.35429367469879536
163,0.3620436746987952
164,0.37225200803212927
165,0.38346034136546225
166,0.39696034136546277
167,0.4148770080321282
168,0.42675200803212854
169,0.436377008032129
170,0.44679367469879466
171,0.45966867469879497
172,0.4731686746987955
173,0.48554367469879545
174,0.4942520080321287
175,0.5049603413654619
176,0.5195436746987953
177,0.5323770080321292
178,0.5441270080321289
179,0.5534186746987952
180,0.5607936746987959
181,0.572960341365462
182,0.5817103413654622
183,0.5878770080321285
184,0.5947520080321282
185,0.6003770080321282
186,0.6089603413654618
187,0.6204603413654619
188,0.6291686746987952
189,0.6389186746987956
190,0.6450020080321285
191,0.6495436746987956
192,0.6589603413654627
193,0.671585341365462
194,0.6850436746987956
195,0.692960341365462
196,0.6983770080321288
197,0.7056270080321284
198,0.7154603413654622
199,0.7256270080321285
200,0.7331686746987951
201,0.7399186746987954
202,0.7482936746987954
203,0.7585020080321284
204,0.7702103413654624
205,0.7772936746987952
206,0.7835436746987953
207,0.7892520080321287
208,0.7973770080321287
209,0.8071686746987956
210,0.8114186746987955
211,0.8135853413654618
212,0.8212520080321284
213,0.8276686746987955
214,0.8354186746987953
215,0.8434186746987952
216,0.8487103413654622
217,0.8539186746987955
218,0.8573353413654622
219,0.8596270080321285
220,0.8650020080321288
221,0.8687520080321288
222,0.873585341365462
223,0.8821686746987955
224,0.8862520080321288
225,0.8844186746987954
226,0.8857520080321284
227,0.8876270080321287
228,0.8903353413654619
229,0.8945436746987954
230,0.8969186746987955
231,0.8979186746987952
232,0.8972520080321288
233,0.8947103413654619
234,0.8947936746987956
235,0.8971270080321287
236,0.8986686746987953
237,0.9003770080321286
238,0.9009186746987953
239,0.8997936746987953
240,0.9006270080321285
241,0.9002936746987955
242,0.9010020080321287
243,0.9047520080321287
244,0.9120436746987952
245,0.9190436746987956
246,0.9214186746987951
247,0.9228353413654621
248,0.9250020080321288
